,house_links,house_type,house_price,address,area,bedrooms,parking_space,latitude,longitude
467,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-3-quartos-230m2/18jcnvg,Apartamento,3250000,"R. Peixoto Gomide, Jardim América",230,3,2,-23.5655005,-46.6616782
468,https://loft.com.br/imovel/apartamento-rua-oscar-freire-jardim-america-sao-paulo-3-quartos-140m2/18jeu3x,Apartamento,1546600,"R. Oscar Freire 1221, Jardim América",140,3,1,-23.5612034,-46.6714649
469,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-3-quartos-310m2/1ah1szr,Apartamento,5100000,"Alameda Lorena, Jardim América",310,3,3,-23.5617831,-46.6682676
470,https://loft.com.br/imovel/apartamento-rua-oscar-freire-jardim-america-sao-paulo-2-quartos-95m2/1b50a61,Apartamento,1710000,"R. Oscar Freire, Jardim América",95,2,1,-23.567398,-46.6645021
471,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-3-quartos-136m2/1cy1yft,Apartamento,1790000,"Alameda Itu, Jardim América",136,3,2,-23.5626355,-46.66088
472,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-2-quartos-117m2/1g64vp2,Apartamento,2697000,"R. José Maria Lisboa, Jardim América",117,2,2,-23.5658172,-46.6603051
473,https://loft.com.br/imovel/apartamento-avenida-reboucas-jardim-america-sao-paulo-3-quartos-120m2/1hvqxzv,Apartamento,925296,"Av. Rebouças, Jardim América",120,3,1,-23.557421,-46.6662968
474,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-2-quartos-72m2/1l0i0y0,Conjugado,1300000,"Alameda Lorena, Jardim América",72,2,1,-23.5663786,-46.6636685
475,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-4-quartos-354m2/1n4mwtg,Apartamento,5850000,"Alameda Itu, Jardim América",354,4,3,-23.5622148,-46.6615429
476,https://loft.com.br/imovel/apartamento-alameda-ministro-rocha-azevedo-jardim-america-sao-paulo-3-quartos-200m2/1py09iv,Apartamento,3500000,"Alameda Ministro Rocha Azevedo, Jardim América",200,3,3,-23.5650288,-46.6631839
477,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-1-quarto-43m2/1qvz279,Conjugado,555000,"Alameda Lorena, Jardim América",43,1,1,-23.5616491,-46.6680293
